taxon	qualifier	stage	density	unit	op	length	sample
"Themisto abyssorum"			0.33	N/m³			"97Kb2 MN-1"
"Themisto libellula"			1.33	N/m³			"97Kb2 MN-1"
"Calanus finmarchicus"		AF	4.67	N/m³			"97Kb2 MN-1"
"Calanus finmarchicus"		CIV	33.33	N/m³			"97Kb2 MN-1"
"Calanus finmarchicus"		CV	5.33	N/m³			"97Kb2 MN-1"
"Calanus finmarchicus"		CIII	41.67	N/m³			"97Kb2 MN-1"
"Calanus finmarchicus"		CI	104.33	N/m³			"97Kb2 MN-1"
"Calanus finmarchicus"		CII	34.33	N/m³			"97Kb2 MN-1"
"Calanus glacialis"		CIV	4.67	N/m³			"97Kb2 MN-1"
"Calanus glacialis"		CV	4.33	N/m³			"97Kb2 MN-1"
"Calanus glacialis"		CIII	0.33	N/m³			"97Kb2 MN-1"
"Calanus glacialis"		AM	0.33	N/m³			"97Kb2 MN-1"
"Metridia longa"		CV	0.33	N/m³			"97Kb2 MN-1"
"Metridia longa"		CIII	1.33	N/m³			"97Kb2 MN-1"
"Metridia longa"		CI	0.33	N/m³			"97Kb2 MN-1"
"Metridia longa"		CII	1	N/m³			"97Kb2 MN-1"
"Microcalanus spp."			6	N/m³			"97Kb2 MN-1"
"Oithona similis"			683.33	N/m³			"97Kb2 MN-1"
"Triconia borealis"			1	N/m³			"97Kb2 MN-1"
"Limacina helicina"		veliger	0.67	N/m³			"97Kb2 MN-1"
"Sagitta elegans"			0.33	N/m³			"97Kb2 MN-1"
"Acartia longiremis"		AF	2	N/m³			"97Kb2 MN-1"
"Acartia longiremis"		CI-CV	18.33	N/m³			"97Kb2 MN-1"
Harpacticoida			0.67	N/m³			"97Kb2 MN-1"
"Microsetella norvegica"			0.67	N/m³			"97Kb2 MN-1"
"Pseudocalanus acuspes"		CIV	7.67	N/m³			"97Kb2 MN-1"
"Pseudocalanus minutus"		AF	1.67	N/m³			"97Kb2 MN-1"
"Pseudocalanus minutus"		CV	8.33	N/m³			"97Kb2 MN-1"
Copepoda		nauplii	976.67	N/m³			"97Kb2 MN-1"
"Calanus hyperboreus"		CIV	0.67	N/m³			"97Kb2 MN-1"
"Fritillaria borealis"			6.67	N/m³			"97Kb2 MN-1"
"Pseudocalanus spp."		CI-CIII	40	N/m³			"97Kb2 MN-1"
Echinodermata		larvae	10	N/m³			"97Kb2 MN-1"
"Themisto libellula"			2.75	N/m³			"97Kb2 MN-2"
"Calanus finmarchicus"		AF	3.64	N/m³			"97Kb2 MN-2"
"Calanus finmarchicus"		CIV	19.61	N/m³			"97Kb2 MN-2"
"Calanus finmarchicus"		CV	3.97	N/m³			"97Kb2 MN-2"
"Calanus finmarchicus"		CIII	35.81	N/m³			"97Kb2 MN-2"
"Calanus finmarchicus"		CI	104.68	N/m³			"97Kb2 MN-2"
"Calanus finmarchicus"		CII	45.18	N/m³			"97Kb2 MN-2"
"Calanus glacialis"		AF	0.66	N/m³			"97Kb2 MN-2"
"Calanus glacialis"		CIV	16.97	N/m³			"97Kb2 MN-2"
"Calanus glacialis"		CV	10.14	N/m³			"97Kb2 MN-2"
"Calanus glacialis"		CIII	3.31	N/m³			"97Kb2 MN-2"
"Calanus glacialis"		CI	0.44	N/m³			"97Kb2 MN-2"
"Calanus glacialis"		CII	1.21	N/m³			"97Kb2 MN-2"
"Metridia longa"		CIV	0.11	N/m³			"97Kb2 MN-2"
"Metridia longa"		CV	0.11	N/m³			"97Kb2 MN-2"
"Metridia longa"		CII	0.44	N/m³			"97Kb2 MN-2"
"Microcalanus spp."			0.66	N/m³			"97Kb2 MN-2"
"Oithona similis"			581.25	N/m³			"97Kb2 MN-2"
"Triconia borealis"			0.88	N/m³			"97Kb2 MN-2"
"Limacina helicina"		veliger	1.21	N/m³			"97Kb2 MN-2"
"Sagitta elegans"			3.64	N/m³			"97Kb2 MN-2"
"Acartia longiremis"		AF	2.2	N/m³			"97Kb2 MN-2"
