"Expedition ","Sample name","Program","Ship","Station","Cast number","Latitude (decimals)","Longitude (decimals)","Bottom depth (m)","Sampling date (UTC)","Gear","Sampling depth (m) from/Distance from core bottom (cm) from","Sampling depth (m) to /Distance from core bottom (cm) to","Animal group","Sample type","Contact person","Comment","Floe","Location","Ice core type","Ice core number","Distance from core bottom (cm) from","Distance from core bottom (cm) to","Ice thickness (cm)","Snow thickness (cm)","Freeboard (cm)","Total melted volume (ml)","Salinity","Filtered volume (ml)"
"N-ICE15","PHT-043","N-ICE","R/V Lance","On-ice CTD-024","024",82.9834,25.5883,3931,02/03/2015 19:14,"On-ice CTD",20,0,"Phytoplankton","Phytoplankton taxonomy","Philipp Assmy",,"Floe 2",,,,,,,,,,,
"N-ICE15","AMM-061","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",401,401,"Water","Ammonium","Svein Kristiansen, UiT; Pedro Duarte",,"Floe 2",,,,,,,,,,,
"N-ICE15","AMM-062","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",300,300,"Water","Ammonium","Svein Kristiansen, UiT; Pedro Duarte",,"Floe 2",,,,,,,,,,,
"N-ICE15","AMM-063","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",250,250,"Water","Ammonium","Svein Kristiansen, UiT; Pedro Duarte",,"Floe 2",,,,,,,,,,,
"N-ICE15","AMM-064","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",200,200,"Water","Ammonium","Svein Kristiansen, UiT; Pedro Duarte",,"Floe 2",,,,,,,,,,,
"N-ICE15","AMM-065","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",150,150,"Water","Ammonium","Svein Kristiansen, UiT; Pedro Duarte",,"Floe 2",,,,,,,,,,,
"N-ICE15","BAR-134","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",401,401,"Water","Barium","Paul Dodd","Log book say cancelled sampling","Floe 2",,,,,,,,,,,
"N-ICE15","BAR-135","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",300,300,"Water","Barium","Paul Dodd","Log book say cancelled sampling","Floe 2",,,,,,,,,,,
"N-ICE15","BAR-136","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",250,250,"Water","Barium","Paul Dodd","Log book say cancelled sampling","Floe 2",,,,,,,,,,,
"N-ICE15","BAR-137","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",200,200,"Water","Barium","Paul Dodd","Log book say cancelled sampling","Floe 2",,,,,,,,,,,
"N-ICE15","BAR-167","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",150,150,"Water","Barium","Paul Dodd","Log book say cancelled sampling","Floe 2",,,,,,,,,,,
"N-ICE15","CDO-176","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",401,401,"Water","CDOM","Mats Granskog",,"Floe 2",,,,,,,,,,,
"N-ICE15","CDO-177","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",300,300,"Water","CDOM","Mats Granskog",,"Floe 2",,,,,,,,,,,
"N-ICE15","CDO-178","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",250,250,"Water","CDOM","Mats Granskog",,"Floe 2",,,,,,,,,,,
"N-ICE15","CDO-179","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",200,200,"Water","CDOM","Mats Granskog",,"Floe 2",,,,,,,,,,,
"N-ICE15","CDO-180","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",150,150,"Water","CDOM","Mats Granskog",,"Floe 2",,,,,,,,,,,
"N-ICE15","DIC-226","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",401,401,"Water","DIC/AT","Agneta Fransson",,"Floe 2",,,,,,,,,,,
"N-ICE15","DIC-227","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",300,300,"Water","DIC/AT","Agneta Fransson",,"Floe 2",,,,,,,,,,,
"N-ICE15","DIC-228","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",250,250,"Water","DIC/AT","Agneta Fransson",,"Floe 2",,,,,,,,,,,
"N-ICE15","DIC-229","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",200,200,"Water","DIC/AT","Agneta Fransson",,"Floe 2",,,,,,,,,,,
"N-ICE15","DIC-230","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",150,150,"Water","DIC/AT","Agneta Fransson",,"Floe 2",,,,,,,,,,,
"N-ICE15","MET-204","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",401,401,"Water","Methane","Agneta Fransson",,"Floe 2",,,,,,,,,,,
"N-ICE15","MET-205","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",300,300,"Water","Methane","Agneta Fransson",,"Floe 2",,,,,,,,,,,
"N-ICE15","MET-206","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",250,250,"Water","Methane","Agneta Fransson",,"Floe 2",,,,,,,,,,,
"N-ICE15","MET-207","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",200,200,"Water","Methane","Agneta Fransson",,"Floe 2",,,,,,,,,,,
"N-ICE15","MET-208","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",150,150,"Water","Methane","Agneta Fransson",,"Floe 2",,,,,,,,,,,
"N-ICE15","OXY-266","N-ICE","R/V Lance","On-ice CTD-022","022",82.9728,25.7670,3930,"02.03.2015 14:36","On-ice CTD",401,401,"Water","δ18 Oxygen","Paul Dodd",,"Floe 2",,,,,,,,,,,
