"Expedition","Sample name","Program","Ship","Station","Cast number","Latitude (decimals)","Longitude (decimals)","Bottom depth (m)","Sampling date (UTC)","Gear","Sampling depth (m) from/Distance from core bottom (cm)","Sampling depth (m) to /Distance from core bottom (cm) to","Animal group","Sample type","Responsible","Comment","Floe","Location","Ice core type","Ice core number","Distance from core bottom (cm) from","Distance from core bottom (cm) to","Ice thickness (cm)","Snow thickness (cm)","Freeboard (cm)","Total melted volume (ml)","Salinity","Filtered volume (ml)","Dilution factor"
"N-ICE2015","AMM-163","N-ICE","R/V Lance","Ship CTD-017",17,80.5100,13.6100,196,12/04/2015 08:45,"Ship CTD",150,,"Water","Ammonium","Svein Kristiansen, UiT; Pedro Duarte","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","AMM-164","N-ICE","R/V Lance","Ship CTD-017",17,80.5100,13.6100,196,12/04/2015 08:45,"Ship CTD",100,,"Water","Ammonium","Svein Kristiansen, UiT; Pedro Duarte","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","AMM-165","N-ICE","R/V Lance","Ship CTD-017",17,80.5100,13.6100,196,12/04/2015 08:45,"Ship CTD",51,,"Water","Ammonium","Svein Kristiansen, UiT; Pedro Duarte","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","AMM-166","N-ICE","R/V Lance","Ship CTD-017",17,80.5100,13.6100,196,12/04/2015 08:45,"Ship CTD",27,,"Water","Ammonium","Svein Kristiansen, UiT; Pedro Duarte","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","AMM-167","N-ICE","R/V Lance","Ship CTD-017",17,80.5100,13.6100,196,12/04/2015 08:45,"Ship CTD",16,,"Water","Ammonium","Svein Kristiansen, UiT; Pedro Duarte","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","AMM-168","N-ICE","R/V Lance","Ship CTD-017",17,80.5100,13.6100,196,12/04/2015 08:45,"Ship CTD",5,,"Water","Ammonium","Svein Kristiansen, UiT; Pedro Duarte","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","BAR-331","N-ICE","R/V Lance","Ship CTD-017",17,80.5100,13.6100,196,12/04/2015 08:45,"Ship CTD",150,,"Water","Barium","Paul Dodd","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","BAR-332","N-ICE","R/V Lance","Ship CTD-017",17,80.5100,13.6100,196,12/04/2015 08:45,"Ship CTD",100,,"Water","Barium","Paul Dodd","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","BAR-333","N-ICE","R/V Lance","Ship CTD-017",17,80.5100,13.6100,196,12/04/2015 08:45,"Ship CTD",51,,"Water","Barium","Paul Dodd","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","BAR-334","N-ICE","R/V Lance","Ship CTD-017",17,80.5100,13.6100,196,12/04/2015 08:45,"Ship CTD",27,,"Water","Barium","Paul Dodd","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","BAR-335","N-ICE","R/V Lance","Ship CTD-017",17,80.5100,13.6100,196,12/04/2015 08:45,"Ship CTD",16,,"Water","Barium","Paul Dodd","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","BAR-336","N-ICE","R/V Lance","Ship CTD-017",17,80.5100,13.6100,196,12/04/2015 08:45,"Ship CTD",5,,"Water","Barium","Paul Dodd","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","CHL-176","N-ICE","R/V Lance","Ship CTD-017",17,80.5100,13.6100,196,12/04/2015 08:45,"Ship CTD",100,,"Water","Pigments","Philipp Assmy","Across shelf transect","Floe 3",,,,,,,,,,,1000,
"N-ICE2015","CHL-177","N-ICE","R/V Lance","Ship CTD-017",17,80.5100,13.6100,196,12/04/2015 08:45,"Ship CTD",51,,"Water","Pigments","Philipp Assmy","Across shelf transect","Floe 3",,,,,,,,,,,1000,
"N-ICE2015","CHL-178","N-ICE","R/V Lance","Ship CTD-017",17,80.5100,13.6100,196,12/04/2015 08:45,"Ship CTD",27,,"Water","Pigments","Philipp Assmy","Across shelf transect","Floe 3",,,,,,,,,,,1000,
"N-ICE2015","CHL-179","N-ICE","R/V Lance","Ship CTD-017",17,80.5100,13.6100,196,12/04/2015 08:45,"Ship CTD",16,,"Water","Pigments","Philipp Assmy","Across shelf transect","Floe 3",,,,,,,,,,,1000,
"N-ICE2015","CHL-180","N-ICE","R/V Lance","Ship CTD-017",17,80.5100,13.6100,196,12/04/2015 08:45,"Ship CTD",5,,"Water","Pigments","Philipp Assmy","Across shelf transect","Floe 3",,,,,,,,,,,1000,
"N-ICE2015","DOX-204","N-ICE","R/V Lance","On-ice CTD-062",62,81.4252,9.2989,1235,16/05/2015 12:05,"On-ice CTD",2,,"Water","Dissolved oxygen","Pedro Duarte",,"Floe 3",,,,,,,,,,,,
"N-ICE2015","DOX-203","N-ICE","R/V Lance","On-ice CTD-062",62,81.4252,9.2989,1235,16/05/2015 12:05,"On-ice CTD",5,,"Water","Dissolved oxygen","Pedro Duarte",,"Floe 3",,,,,,,,,,,,
"N-ICE2015","DOX-202","N-ICE","R/V Lance","On-ice CTD-062",62,81.4252,9.2989,1235,16/05/2015 12:05,"On-ice CTD",15,,"Water","Dissolved oxygen","Pedro Duarte",,"Floe 3",,,,,,,,,,,,
"N-ICE2015","DOX-201","N-ICE","R/V Lance","On-ice CTD-062",62,81.4252,9.2989,1235,16/05/2015 12:05,"On-ice CTD",25,,"Water","Dissolved oxygen","Pedro Duarte",,"Floe 3",,,,,,,,,,,,
"N-ICE2015","DOX-200","N-ICE","R/V Lance","On-ice CTD-062",62,81.4252,9.2989,1235,16/05/2015 12:05,"On-ice CTD",50,,"Water","Dissolved oxygen","Pedro Duarte",,"Floe 3",,,,,,,,,,,,
"N-ICE2015","DOX-199","N-ICE","R/V Lance","On-ice CTD-061",61,81.4235,9.1490,1205,16/05/2015 07:44,"On-ice CTD",100,,"Water","Dissolved oxygen","Pedro Duarte",,"Floe 3",,,,,,,,,,,,
"N-ICE2015","NUT-415","N-ICE","R/V Lance","Ship CTD-017",17,80.5100,13.6100,196,12/04/2015 08:45,"Ship CTD",150,,"Water","Nutrients","Paul Dodd; Phillip Assmy","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","NUT-416","N-ICE","R/V Lance","Ship CTD-017",17,80.5100,13.6100,196,12/04/2015 08:45,"Ship CTD",100,,"Water","Nutrients","Paul Dodd; Phillip Assmy","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","NUT-417","N-ICE","R/V Lance","Ship CTD-017",17,80.5100,13.6100,196,12/04/2015 08:45,"Ship CTD",51,,"Water","Nutrients","Paul Dodd; Phillip Assmy","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","NUT-418","N-ICE","R/V Lance","Ship CTD-017",17,80.5100,13.6100,196,12/04/2015 08:45,"Ship CTD",27,,"Water","Nutrients","Paul Dodd; Phillip Assmy","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","NUT-419","N-ICE","R/V Lance","Ship CTD-017",17,80.5100,13.6100,196,12/04/2015 08:45,"Ship CTD",16,,"Water","Nutrients","Paul Dodd; Phillip Assmy","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","NUT-420","N-ICE","R/V Lance","Ship CTD-017",17,80.5100,13.6100,196,12/04/2015 08:45,"Ship CTD",5,,"Water","Nutrients","Paul Dodd; Phillip Assmy","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","OXI-450","N-ICE","R/V Lance","Ship CTD-017",17,80.5100,13.6100,196,12/04/2015 08:45,"Ship CTD",150,,"Water","δ18 Oxygen","Paul Dodd","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","OXI-451","N-ICE","R/V Lance","Ship CTD-017",17,80.5100,13.6100,196,12/04/2015 08:45,"Ship CTD",100,,"Water","δ18 Oxygen","Paul Dodd","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","OXI-452","N-ICE","R/V Lance","Ship CTD-017",17,80.5100,13.6100,196,12/04/2015 08:45,"Ship CTD",51,,"Water","δ18 Oxygen","Paul Dodd","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","OXI-453","N-ICE","R/V Lance","Ship CTD-017",17,80.5100,13.6100,196,12/04/2015 08:45,"Ship CTD",27,,"Water","δ18 Oxygen","Paul Dodd","Across shelf transect",,,,,,,,,,,,,
"N-ICE2015","OXI-454","N-ICE","R/V Lance","Ship CTD-017",17,80.5100,13.6100,196,12/04/2015 08:45,"Ship CTD",16,,"Water","δ18 Oxygen","Paul Dodd","Across shelf transect",,,,,,,,,,,,,
