"Expedition","Sample name","Program","Ship","Station","Cast number","Latitude (decimals)","Longitude (decimals)","Bottom depth (m)","Sampling date (UTC)","Gear","Sampling depth (m) from/Distance from core bottom (cm)","Sampling depth (m) to /Distance from core bottom (cm) to","Animal group","Sample type","Responsible","Comment","Floe","Location","Ice core type","Ice core number","Distance from core bottom (cm) from","Distance from core bottom (cm) to","Ice thickness (m)","Snow thickness (cm)","Freeboard (cm)","Total melted volume (ml)","Salinity","Filtered volume (ml)"
"N-ICE15","CDO-390","N-ICE","R/V Lance","On-ice CTD-066",66,81.2600,9.8150,1350.3,21/05/2015 15:00,"On-ice CTD",20,,"Water","CDOM","Mats Granskog","Extra CTD cast with AC9 profile","Floe 3",,,,,,,,,,,
"N-ICE15","CDO-391","N-ICE","R/V Lance","On-ice CTD-066",66,81.2600,9.8150,1350.3,21/05/2015 15:00,"On-ice CTD",15,,"Water","CDOM","Mats Granskog","Extra CTD cast with AC9 profile","Floe 3",,,,,,,,,,,
"N-ICE15","CDO-392","N-ICE","R/V Lance","On-ice CTD-066",66,81.2600,9.8150,1350.3,21/05/2015 15:00,"On-ice CTD",5,,"Water","CDOM","Mats Granskog","Extra CTD cast with AC9 profile","Floe 3",,,,,,,,,,,
"N-ICE15","CDO-393","N-ICE","R/V Lance","On-ice CTD-066",66,81.2600,9.8150,1350.3,21/05/2015 15:00,"On-ice CTD",2,,"Water","CDOM","Mats Granskog","Extra CTD cast with AC9 profile","Floe 3",,,,,,,,,,,
"N-ICE15","CDO-394","N-ICE","R/V Lance","Refrozen lead transect 1",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",0,10,"Sea ice algae","CDOM","Mats Granskog","3 cores pooled","Floe 3",,,"Site1",,,22,6,,1700,7.3,
"N-ICE15","CDO-395","N-ICE","R/V Lance","Refrozen lead transect 1",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",10,22,"Sea ice algae","CDOM","Mats Granskog","3 cores pooled","Floe 3",,,"Site1",,,22,6,,1850,7.1,
"N-ICE15","CDO-396","N-ICE","R/V Lance","Refrozen lead transect 2",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",0,10,"Sea ice algae","CDOM","Mats Granskog","3 cores pooled","Floe 3",,,"Site2",,,26.5,6,,1670,7.2,
"N-ICE15","CDO-397","N-ICE","R/V Lance","Refrozen lead transect 2",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",10,26.5,"Sea ice algae","CDOM","Mats Granskog","3 cores pooled","Floe 3",,,"Site2",,,26.5,6,,2385,4.8,
"N-ICE15","CDO-398","N-ICE","R/V Lance","Refrozen lead transect 3",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",0,10,"Sea ice algae","CDOM","Mats Granskog","3 cores pooled","Floe 3",,,"Site3",,,26,5.5,,1600,7.6,
"N-ICE15","CDO-399","N-ICE","R/V Lance","Refrozen lead transect 3",,81.2985,10.1559,1791,20/05/2015 12:00,"Ice corer 9 cm",10,26,"Sea ice algae","CDOM","Mats Granskog","3 cores pooled","Floe 3",,,"Site3",,,26,5.5,,2460,6.5,
