Expedition,Sample name,Station,Latitude (decimals),Longitude (decimals),Bottom depth (m),Sampling date (UTC),Gear,Sampling depth (m) from,Sampling depth (m) to,Filtration volume (ml),Sample type,Responsible,Comment
ARCEx2016,PHT-001,vMf1,77.8317,16.4865,65,18/05/2016 04:00:00,Niskin bottle,60,,,Phytoplankton taxonomy,Philipp Assmy,769
ARCEx2016,PHT-002,vMf1,77.8317,16.4865,65,18/05/2016 04:00,Niskin bottle,15,,,Phytoplankton taxonomy,Philipp Assmy,769
ARCEx2016,PHT-003,vMf1,77.8317,16.4865,65,18/05/2016 05:00,Niskin bottle,20,,,Phytoplankton taxonomy,Philipp Assmy,771
ARCEx2016,PHT-004,vMf1,77.8317,16.4865,65,18/05/2016 05:00,Niskin bottle,10,,,Phytoplankton taxonomy,Philipp Assmy,771
ARCEx2016,PHT-005,vMf1,77.8317,16.4865,65,18/05/2016 05:00,Niskin bottle,5,,,Phytoplankton taxonomy,Philipp Assmy,771
ARCEx2016,PHT-006,vMf1,77.8317,16.4865,65,18/05/2016 05:00,Niskin bottle,0,,,Phytoplankton taxonomy,Philipp Assmy,771
ARCEx2016,PHT-013,Hornsund,77.0171,16.1393,124,19/05/2016 20:40:00,Niskin bottle,90,,,Phytoplankton taxonomy,Philipp Assmy,818
ARCEx2016,PHT-014,Hornsund,77.0171,16.1393,124,19/05/2016 20:40:00,Niskin bottle,50,,,Phytoplankton taxonomy,Philipp Assmy,818
ARCEx2016,PHT-015,Hornsund,77.0171,16.1393,124,19/05/2016 20:40:00,Niskin bottle,12,,,Phytoplankton taxonomy,Philipp Assmy,818
ARCEx2016,PHT-016,Hornsund,77.0171,16.1393,124,19/05/2016 20:40:01,Niskin bottle,20,,,Phytoplankton taxonomy,Philipp Assmy,820
ARCEx2016,PHT-017,Hornsund,77.0171,16.1393,124,19/05/2016 20:40:01,Niskin bottle,10,,,Phytoplankton taxonomy,Philipp Assmy,820
ARCEx2016,PHT-018,Hornsund,77.0171,16.1393,124,19/05/2016 20:40:01,Niskin bottle,5,,,Phytoplankton taxonomy,Philipp Assmy,820
ARCEx2016,PHT-019,Hornsund,77.0171,16.1393,124,19/05/2016 20:40:01,Niskin bottle,0,,,Phytoplankton taxonomy,Philipp Assmy,820
