density	taxon	op	length	qualifier	sample	comment	unit
173.9	Total diatoms				ICE11-34		cells/L
4912.8	Total diatoms				ICE11-96		cells/L
1944.4	Total diatoms				ICE11-456		cells/L
365571.4	Total diatoms				ICE11-175		cells/L
33512.7	Total diatoms				ICE11-252		cells/L
637776.4	Total diatoms						cells/L
266155.4	Total diatoms				ICE11-330		cells/L
23158.8	Total diatoms				ICE11-331		cells/L
244497.1	Total diatoms				ICE11-332		cells/L
78299.8	Total diatoms				ICE11-333		cells/L
54244.2	Total diatoms				ICE11-334		cells/L
241199.6	Total diatoms						cells/L
1391.9	Total diatoms				ICE11-418		cells/L
918624.7	Total diatoms				ICE11-667		cells/L
14232.9	Total diatoms				ICE11-775		cells/L
95692.6	Total diatoms				ICE11-776		cells/L
1157965.5	Total diatoms				ICE11-777		cells/L
1975445	Total diatoms				ICE11-778		cells/L
145187.4	Total diatoms				ICE11-745		cells/L
88772.9	Total diatoms						cells/L
81239.4	Total diatoms				ICE11-878		cells/L
861349.5	Total diatoms				ICE11-879		cells/L
763912.3	Total diatoms				ICE11-880		cells/L
9246.5	Total diatoms				ICE11-881		cells/L
53213.9	Total diatoms				ICE11-864		cells/L
42165.4	Total diatoms				ICE11-944		cells/L
847153.9	Total diatoms				ICE11-945		cells/L
14897.5	Total diatoms				ICE11-947		cells/L
1257881.8	Total diatoms				ICE11-930		cells/L
13128	Total diatoms				ICE11-992		cells/L
161523.7	Total diatoms				ICE11-993		cells/L
1298626.7	Total diatoms				ICE11-994		cells/L
1327351.6	Total diatoms				ICE11-995		cells/L
1287884.8	Total diatoms				ICE11-996		cells/L
45572.3	Total diatoms				ICE11-1058		cells/L
824714.1	Total diatoms				ICE11-1059		cells/L
215576.5	Total diatoms				ICE11-1060		cells/L
1369198.1	Total diatoms				ICE11-1061		cells/L
1637976.1	Total diatoms				ICE11-1062		cells/L
13499	Total diatoms				ICE11-1130		cells/L
24271.7	Total diatoms				ICE11-1131		cells/L
1185144.1	Total diatoms				ICE11-1132		cells/L
137980	Total diatoms				ICE11-1133		cells/L
1266756.6	Total diatoms				ICE11-1134		cells/L
9117.6	Total diatoms				ICE11-1196		cells/L
245657.9	Total diatoms				ICE11-1197		cells/L
1331327.5	Total diatoms				ICE11-1198		cells/L
969695.6	Total diatoms				ICE11-1199		cells/L
115227.5	Total diatoms				ICE11-1200		cells/L
293142.4	Total diatoms				ICE11-1262		cells/L
722536.3	Total diatoms				ICE11-1263		cells/L
181146.5	Total diatoms				ICE11-1264		cells/L
1188361.4	Total diatoms				ICE11-1265		cells/L
811893.4	Total diatoms				ICE11-1266		cells/L
17677.3	Total diatoms				ICE11-1328		cells/L
52833.5	Total diatoms				ICE11-1329		cells/L
92848.6	Total diatoms				ICE11-1330		cells/L
916692.6	Total diatoms				ICE11-1331		cells/L
157429.5	Total diatoms				ICE11-1332		cells/L
524558.5	Total diatoms				ICE11-1399		cells/L
122686.4	Total diatoms				ICE11-1400		cells/L
965989.3	Total diatoms				ICE11-1401		cells/L
86813.2	Total diatoms				ICE11-1402		cells/L
1134581.6	Total diatoms				ICE11-1403		cells/L
